Subregion,Region,Lat,Long,Day,Count
Hubei,China,30.9756,112.2707,2020-01-22,17
Hubei,China,30.9756,112.2707,2020-01-23,17
Hebei,China,39.549,116.1306,2020-01-23,1
Hubei,China,30.9756,112.2707,2020-01-24,24
Heilongjiang,China,47.862,127.7615,2020-01-24,1
Hebei,China,39.549,116.1306,2020-01-24,1
Hubei,China,30.9756,112.2707,2020-01-25,40
Heilongjiang,China,47.862,127.7615,2020-01-25,1
Hebei,China,39.549,116.1306,2020-01-25,1
Hubei,China,30.9756,112.2707,2020-01-26,52
Henan,China,33.882,113.614,2020-01-26,1
Heilongjiang,China,47.862,127.7615,2020-01-26,1
Shanghai,China,31.202,121.4491,2020-01-26,1
Hebei,China,39.549,116.1306,2020-01-26,1
Hubei,China,30.9756,112.2707,2020-01-27,76
Henan,China,33.882,113.614,2020-01-27,1
Heilongjiang,China,47.862,127.7615,2020-01-27,1
Beijing,China,40.1824,116.4142,2020-01-27,1
Shanghai,China,31.202,121.4491,2020-01-27,1
Hebei,China,39.549,116.1306,2020-01-27,1
Hainan,China,19.1959,109.7453,2020-01-27,1
Hubei,China,30.9756,112.2707,2020-01-28,125
Henan,China,33.882,113.614,2020-01-28,1
Heilongjiang,China,47.862,127.7615,2020-01-28,1
Beijing,China,40.1824,116.4142,2020-01-28,1
Shanghai,China,31.202,121.4491,2020-01-28,1
Hebei,China,39.549,116.1306,2020-01-28,1
Hainan,China,19.1959,109.7453,2020-01-28,1
Hubei,China,30.9756,112.2707,2020-01-29,125
Henan,China,33.882,113.614,2020-01-29,2
Sichuan,China,30.6171,102.7103,2020-01-29,1
Heilongjiang,China,47.862,127.7615,2020-01-29,1
Beijing,China,40.1824,116.4142,2020-01-29,1
Shanghai,China,31.202,121.4491,2020-01-29,1
Hebei,China,39.549,116.1306,2020-01-29,1
Hainan,China,19.1959,109.7453,2020-01-29,1
Hubei,China,30.9756,112.2707,2020-01-30,162
Henan,China,33.882,113.614,2020-01-30,2
Sichuan,China,30.6171,102.7103,2020-01-30,1
Heilongjiang,China,47.862,127.7615,2020-01-30,2
Beijing,China,40.1824,116.4142,2020-01-30,1
Shanghai,China,31.202,121.4491,2020-01-30,1
Hebei,China,39.549,116.1306,2020-01-30,1
Hainan,China,19.1959,109.7453,2020-01-30,1
Hubei,China,30.9756,112.2707,2020-01-31,204
Henan,China,33.882,113.614,2020-01-31,2
Sichuan,China,30.6171,102.7103,2020-01-31,1
Heilongjiang,China,47.862,127.7615,2020-01-31,2
Beijing,China,40.1824,116.4142,2020-01-31,1
Shanghai,China,31.202,121.4491,2020-01-31,1
Hebei,China,39.549,116.1306,2020-01-31,1
Hainan,China,19.1959,109.7453,2020-01-31,1
Hubei,China,30.9756,112.2707,2020-02-01,249
Henan,China,33.882,113.614,2020-02-01,2
Chongqing,China,30.0572,107.874,2020-02-01,1
Sichuan,China,30.6171,102.7103,2020-02-01,1
Heilongjiang,China,47.862,127.7615,2020-02-01,2
Beijing,China,40.1824,116.4142,2020-02-01,1
Shanghai,China,31.202,121.4491,2020-02-01,1
Hebei,China,39.549,116.1306,2020-02-01,1
Hainan,China,19.1959,109.7453,2020-02-01,1
All,Philippines,13,122,2020-02-02,1
Hubei,China,30.9756,112.2707,2020-02-02,350
Henan,China,33.882,113.614,2020-02-02,2
Chongqing,China,30.0572,107.874,2020-02-02,2
Sichuan,China,30.6171,102.7103,2020-02-02,1
Heilongjiang,China,47.862,127.7615,2020-02-02,2
Beijing,China,40.1824,116.4142,2020-02-02,1
Shanghai,China,31.202,121.4491,2020-02-02,1
Hebei,China,39.549,116.1306,2020-02-02,1
Hainan,China,19.1959,109.7453,2020-02-02,1
All,Philippines,13,122,2020-02-03,1
Hubei,China,30.9756,112.2707,2020-02-03,414
Henan,China,33.882,113.614,2020-02-03,2
Chongqing,China,30.0572,107.874,2020-02-03,2
Sichuan,China,30.6171,102.7103,2020-02-03,1
Heilongjiang,China,47.862,127.7615,2020-02-03,2
Beijing,China,40.1824,116.4142,2020-02-03,1
Shanghai,China,31.202,121.4491,2020-02-03,1
Hebei,China,39.549,116.1306,2020-02-03,1
Hainan,China,19.1959,109.7453,2020-02-03,1
All,Philippines,13,122,2020-02-04,1
Hubei,China,30.9756,112.2707,2020-02-04,479
Henan,China,33.882,113.614,2020-02-04,2
Chongqing,China,30.0572,107.874,2020-02-04,2
Sichuan,China,30.6171,102.7103,2020-02-04,1
Heilongjiang,China,47.862,127.7615,2020-02-04,2
Beijing,China,40.1824,116.4142,2020-02-04,1
Shanghai,China,31.202,121.4491,2020-02-04,1
Hebei,China,39.549,116.1306,2020-02-04,1
Hainan,China,19.1959,109.7453,2020-02-04,1
Hong Kong,China,22.3,114.2,2020-02-04,1
All,Philippines,13,122,2020-02-05,1
Hubei,China,30.9756,112.2707,2020-02-05,549
Henan,China,33.882,113.614,2020-02-05,2
Chongqing,China,30.0572,107.874,2020-02-05,2
Sichuan,China,30.6171,102.7103,2020-02-05,1
Heilongjiang,China,47.862,127.7615,2020-02-05,2
Beijing,China,40.1824,116.4142,2020-02-05,1
Shanghai,China,31.202,121.4491,2020-02-05,1
Hebei,China,39.549,116.1306,2020-02-05,1
Hainan,China,19.1959,109.7453,2020-02-05,1
Guizhou,China,26.8154,106.8748,2020-02-05,1
Tianjin,China,39.3054,117.323,2020-02-05,1
Hong Kong,China,22.3,114.2,2020-02-05,1
All,Philippines,13,122,2020-02-06,1
Hubei,China,30.9756,112.2707,2020-02-06,618
Henan,China,33.882,113.614,2020-02-06,2
Chongqing,China,30.0572,107.874,2020-02-06,2
Sichuan,China,30.6171,102.7103,2020-02-06,1
Heilongjiang,China,47.862,127.7615,2020-02-06,3
Beijing,China,40.1824,116.4142,2020-02-06,1
Shanghai,China,31.202,121.4491,2020-02-06,1
Hebei,China,39.549,116.1306,2020-02-06,1
Hainan,China,19.1959,109.7453,2020-02-06,1
Guizhou,China,26.8154,106.8748,2020-02-06,1
Tianjin,China,39.3054,117.323,2020-02-06,1
Hong Kong,China,22.3,114.2,2020-02-06,1
All,Philippines,13,122,2020-02-07,1
Hubei,China,30.9756,112.2707,2020-02-07,699
Guangdong,China,23.3417,113.4244,2020-02-07,1
Henan,China,33.882,113.614,2020-02-07,3
Chongqing,China,30.0572,107.874,2020-02-07,2
Sichuan,China,30.6171,102.7103,2020-02-07,1
Heilongjiang,China,47.862,127.7615,2020-02-07,3
Beijing,China,40.1824,116.4142,2020-02-07,1
Shanghai,China,31.202,121.4491,2020-02-07,1
Hebei,China,39.549,116.1306,2020-02-07,1
Hainan,China,19.1959,109.7453,2020-02-07,2
Guizhou,China,26.8154,106.8748,2020-02-07,1
Tianjin,China,39.3054,117.323,2020-02-07,1
Hong Kong,China,22.3,114.2,2020-02-07,1
Jilin,China,43.6661,126.1923,2020-02-07,1
All,Philippines,13,122,2020-02-08,1
Hubei,China,30.9756,112.2707,2020-02-08,780
Guangdong,China,23.3417,113.4244,2020-02-08,1
Henan,China,33.882,113.614,2020-02-08,4
Hunan,China,27.6104,111.7088,2020-02-08,1
Chongqing,China,30.0572,107.874,2020-02-08,2
Sichuan,China,30.6171,102.7103,2020-02-08,1
Heilongjiang,China,47.862,127.7615,2020-02-08,5
Beijing,China,40.1824,116.4142,2020-02-08,2
Shanghai,China,31.202,121.4491,2020-02-08,1
Hebei,China,39.549,116.1306,2020-02-08,1
Hainan,China,19.1959,109.7453,2020-02-08,2
Guizhou,China,26.8154,106.8748,2020-02-08,1
Tianjin,China,39.3054,117.323,2020-02-08,1
Gansu,China,37.8099,101.0583,2020-02-08,1
Hong Kong,China,22.3,114.2,2020-02-08,1
Jilin,China,43.6661,126.1923,2020-02-08,1
All,Philippines,13,122,2020-02-09,1
Hubei,China,30.9756,112.2707,2020-02-09,871
Guangdong,China,23.3417,113.4244,2020-02-09,1
Henan,China,33.882,113.614,2020-02-09,6
Hunan,China,27.6104,111.7088,2020-02-09,1
Anhui,China,31.8257,117.2264,2020-02-09,1
Shandong,China,36.3427,118.1498,2020-02-09,1
Chongqing,China,30.0572,107.874,2020-02-09,2
Sichuan,China,30.6171,102.7103,2020-02-09,1
Heilongjiang,China,47.862,127.7615,2020-02-09,6
Beijing,China,40.1824,116.4142,2020-02-09,2
Shanghai,China,31.202,121.4491,2020-02-09,1
Hebei,China,39.549,116.1306,2020-02-09,2
Guangxi,China,23.8298,108.7881,2020-02-09,1
Hainan,China,19.1959,109.7453,2020-02-09,3
Guizhou,China,26.8154,106.8748,2020-02-09,1
Tianjin,China,39.3054,117.323,2020-02-09,1
Gansu,China,37.8099,101.0583,2020-02-09,2
Hong Kong,China,22.3,114.2,2020-02-09,1
Jilin,China,43.6661,126.1923,2020-02-09,1
All,Philippines,13,122,2020-02-10,1
Hubei,China,30.9756,112.2707,2020-02-10,974
Guangdong,China,23.3417,113.4244,2020-02-10,1
Henan,China,33.882,113.614,2020-02-10,6
Hunan,China,27.6104,111.7088,2020-02-10,1
Anhui,China,31.8257,117.2264,2020-02-10,3
Jiangxi,China,27.614,115.7221,2020-02-10,1
Shandong,China,36.3427,118.1498,2020-02-10,1
Chongqing,China,30.0572,107.874,2020-02-10,2
Sichuan,China,30.6171,102.7103,2020-02-10,1
Heilongjiang,China,47.862,127.7615,2020-02-10,7
Beijing,China,40.1824,116.4142,2020-02-10,2
Shanghai,China,31.202,121.4491,2020-02-10,1
Hebei,China,39.549,116.1306,2020-02-10,2
Guangxi,China,23.8298,108.7881,2020-02-10,1
Hainan,China,19.1959,109.7453,2020-02-10,3
Guizhou,China,26.8154,106.8748,2020-02-10,1
Tianjin,China,39.3054,117.323,2020-02-10,1
Gansu,China,37.8099,101.0583,2020-02-10,2
Hong Kong,China,22.3,114.2,2020-02-10,1
Jilin,China,43.6661,126.1923,2020-02-10,1
All,Philippines,13,122,2020-02-11,1
Hubei,China,30.9756,112.2707,2020-02-11,1068
Guangdong,China,23.3417,113.4244,2020-02-11,1
Henan,China,33.882,113.614,2020-02-11,7
Hunan,China,27.6104,111.7088,2020-02-11,1
Anhui,China,31.8257,117.2264,2020-02-11,4
Jiangxi,China,27.614,115.7221,2020-02-11,1
Shandong,China,36.3427,118.1498,2020-02-11,1
Chongqing,China,30.0572,107.874,2020-02-11,3
Sichuan,China,30.6171,102.7103,2020-02-11,1
Heilongjiang,China,47.862,127.7615,2020-02-11,8
Beijing,China,40.1824,116.4142,2020-02-11,3
Shanghai,China,31.202,121.4491,2020-02-11,1
Hebei,China,39.549,116.1306,2020-02-11,2
Guangxi,China,23.8298,108.7881,2020-02-11,1
Hainan,China,19.1959,109.7453,2020-02-11,3
Guizhou,China,26.8154,106.8748,2020-02-11,1
Tianjin,China,39.3054,117.323,2020-02-11,2
Gansu,China,37.8099,101.0583,2020-02-11,2
Hong Kong,China,22.3,114.2,2020-02-11,1
Jilin,China,43.6661,126.1923,2020-02-11,1
All,Philippines,13,122,2020-02-12,1
Hubei,China,30.9756,112.2707,2020-02-12,1068
Guangdong,China,23.3417,113.4244,2020-02-12,1
Henan,China,33.882,113.614,2020-02-12,8
Hunan,China,27.6104,111.7088,2020-02-12,2
Anhui,China,31.8257,117.2264,2020-02-12,4
Jiangxi,China,27.614,115.7221,2020-02-12,1
Shandong,China,36.3427,118.1498,2020-02-12,2
Chongqing,China,30.0572,107.874,2020-02-12,3
Sichuan,China,30.6171,102.7103,2020-02-12,1
Heilongjiang,China,47.862,127.7615,2020-02-12,8
Beijing,China,40.1824,116.4142,2020-02-12,3
Shanghai,China,31.202,121.4491,2020-02-12,1
Hebei,China,39.549,116.1306,2020-02-12,2
Guangxi,China,23.8298,108.7881,2020-02-12,1
Hainan,China,19.1959,109.7453,2020-02-12,4
Guizhou,China,26.8154,106.8748,2020-02-12,1
Tianjin,China,39.3054,117.323,2020-02-12,2
Gansu,China,37.8099,101.0583,2020-02-12,2
Hong Kong,China,22.3,114.2,2020-02-12,1
Liaoning,China,41.2956,122.6085,2020-02-12,1
Jilin,China,43.6661,126.1923,2020-02-12,1
All,Japan,36,138,2020-02-13,1
All,Philippines,13,122,2020-02-13,1
Hubei,China,30.9756,112.2707,2020-02-13,1310
Guangdong,China,23.3417,113.4244,2020-02-13,2
Henan,China,33.882,113.614,2020-02-13,10
Hunan,China,27.6104,111.7088,2020-02-13,2
Anhui,China,31.8257,117.2264,2020-02-13,5
Jiangxi,China,27.614,115.7221,2020-02-13,1
Shandong,China,36.3427,118.1498,2020-02-13,2
Chongqing,China,30.0572,107.874,2020-02-13,4
Sichuan,China,30.6171,102.7103,2020-02-13,1
Heilongjiang,China,47.862,127.7615,2020-02-13,9
Beijing,China,40.1824,116.4142,2020-02-13,3
Shanghai,China,31.202,121.4491,2020-02-13,1
Hebei,China,39.549,116.1306,2020-02-13,3
Guangxi,China,23.8298,108.7881,2020-02-13,2
Hainan,China,19.1959,109.7453,2020-02-13,4
Guizhou,China,26.8154,106.8748,2020-02-13,1
Tianjin,China,39.3054,117.323,2020-02-13,3
Gansu,China,37.8099,101.0583,2020-02-13,2
Hong Kong,China,22.3,114.2,2020-02-13,1
Liaoning,China,41.2956,122.6085,2020-02-13,1
Jilin,China,43.6661,126.1923,2020-02-13,1
Xinjiang,China,41.1129,85.2401,2020-02-13,1
All,Japan,36,138,2020-02-14,1
All,Philippines,13,122,2020-02-14,1
Hubei,China,30.9756,112.2707,2020-02-14,1457
Guangdong,China,23.3417,113.4244,2020-02-14,2
Henan,China,33.882,113.614,2020-02-14,11
Hunan,China,27.6104,111.7088,2020-02-14,2
Anhui,China,31.8257,117.2264,2020-02-14,6
Jiangxi,China,27.614,115.7221,2020-02-14,1
Shandong,China,36.3427,118.1498,2020-02-14,2
Chongqing,China,30.0572,107.874,2020-02-14,5
Sichuan,China,30.6171,102.7103,2020-02-14,1
Heilongjiang,China,47.862,127.7615,2020-02-14,11
Beijing,China,40.1824,116.4142,2020-02-14,3
Shanghai,China,31.202,121.4491,2020-02-14,1
Hebei,China,39.549,116.1306,2020-02-14,3
Guangxi,China,23.8298,108.7881,2020-02-14,2
Hainan,China,19.1959,109.7453,2020-02-14,4
Guizhou,China,26.8154,106.8748,2020-02-14,1
Tianjin,China,39.3054,117.323,2020-02-14,3
Gansu,China,37.8099,101.0583,2020-02-14,2
Hong Kong,China,22.3,114.2,2020-02-14,1
Liaoning,China,41.2956,122.6085,2020-02-14,1
Jilin,China,43.6661,126.1923,2020-02-14,1
Xinjiang,China,41.1129,85.2401,2020-02-14,1
All,Japan,36,138,2020-02-15,1
All,Philippines,13,122,2020-02-15,1
Hubei,China,30.9756,112.2707,2020-02-15,1596
France,France,46.2276,2.2137,2020-02-15,1
Guangdong,China,23.3417,113.4244,2020-02-15,2
Henan,China,33.882,113.614,2020-02-15,13
Hunan,China,27.6104,111.7088,2020-02-15,2
Anhui,China,31.8257,117.2264,2020-02-15,6
Jiangxi,China,27.614,115.7221,2020-02-15,1
Shandong,China,36.3427,118.1498,2020-02-15,2
Chongqing,China,30.0572,107.874,2020-02-15,5
Sichuan,China,30.6171,102.7103,2020-02-15,1
Heilongjiang,China,47.862,127.7615,2020-02-15,11
Beijing,China,40.1824,116.4142,2020-02-15,4
Shanghai,China,31.202,121.4491,2020-02-15,1
Hebei,China,39.549,116.1306,2020-02-15,3
Guangxi,China,23.8298,108.7881,2020-02-15,2
Hainan,China,19.1959,109.7453,2020-02-15,4
Guizhou,China,26.8154,106.8748,2020-02-15,1
Tianjin,China,39.3054,117.323,2020-02-15,3
Gansu,China,37.8099,101.0583,2020-02-15,2
Hong Kong,China,22.3,114.2,2020-02-15,1
Liaoning,China,41.2956,122.6085,2020-02-15,1
Jilin,China,43.6661,126.1923,2020-02-15,1
Xinjiang,China,41.1129,85.2401,2020-02-15,1
All,Japan,36,138,2020-02-16,1
All,Philippines,13,122,2020-02-16,1
Hubei,China,30.9756,112.2707,2020-02-16,1696
France,France,46.2276,2.2137,2020-02-16,1
Guangdong,China,23.3417,113.4244,2020-02-16,2
Henan,China,33.882,113.614,2020-02-16,13
Hunan,China,27.6104,111.7088,2020-02-16,3
Anhui,China,31.8257,117.2264,2020-02-16,6
Jiangxi,China,27.614,115.7221,2020-02-16,1
Shandong,China,36.3427,118.1498,2020-02-16,2
Chongqing,China,30.0572,107.874,2020-02-16,5
Sichuan,China,30.6171,102.7103,2020-02-16,3
Heilongjiang,China,47.862,127.7615,2020-02-16,11
Beijing,China,40.1824,116.4142,2020-02-16,4
Shanghai,China,31.202,121.4491,2020-02-16,1
Hebei,China,39.549,116.1306,2020-02-16,3
Guangxi,China,23.8298,108.7881,2020-02-16,2
Hainan,China,19.1959,109.7453,2020-02-16,4
Guizhou,China,26.8154,106.8748,2020-02-16,1
Tianjin,China,39.3054,117.323,2020-02-16,3
Gansu,China,37.8099,101.0583,2020-02-16,2
Hong Kong,China,22.3,114.2,2020-02-16,1
Liaoning,China,41.2956,122.6085,2020-02-16,1
Jilin,China,43.6661,126.1923,2020-02-16,1
Xinjiang,China,41.1129,85.2401,2020-02-16,1
All,Taiwan*,23.7,121,2020-02-16,1
All,Japan,36,138,2020-02-17,1
All,Philippines,13,122,2020-02-17,1
Hubei,China,30.9756,112.2707,2020-02-17,1789
France,France,46.2276,2.2137,2020-02-17,1
Guangdong,China,23.3417,113.4244,2020-02-17,4
Henan,China,33.882,113.614,2020-02-17,16
Hunan,China,27.6104,111.7088,2020-02-17,3
Anhui,China,31.8257,117.2264,2020-02-17,6
Jiangxi,China,27.614,115.7221,2020-02-17,1
Shandong,China,36.3427,118.1498,2020-02-17,2
Chongqing,China,30.0572,107.874,2020-02-17,5
Sichuan,China,30.6171,102.7103,2020-02-17,3
Heilongjiang,China,47.862,127.7615,2020-02-17,11
Beijing,China,40.1824,116.4142,2020-02-17,4
Shanghai,China,31.202,121.4491,2020-02-17,1
Hebei,China,39.549,116.1306,2020-02-17,3
Guangxi,China,23.8298,108.7881,2020-02-17,2
Hainan,China,19.1959,109.7453,2020-02-17,4
Guizhou,China,26.8154,106.8748,2020-02-17,1
Tianjin,China,39.3054,117.323,2020-02-17,3
Gansu,China,37.8099,101.0583,2020-02-17,2
Hong Kong,China,22.3,114.2,2020-02-17,1
Liaoning,China,41.2956,122.6085,2020-02-17,1
Jilin,China,43.6661,126.1923,2020-02-17,1
Xinjiang,China,41.1129,85.2401,2020-02-17,1
All,Taiwan*,23.7,121,2020-02-17,1
All,Japan,36,138,2020-02-18,1
All,Philippines,13,122,2020-02-18,1
Hubei,China,30.9756,112.2707,2020-02-18,1921
France,France,46.2276,2.2137,2020-02-18,1
Guangdong,China,23.3417,113.4244,2020-02-18,4
Henan,China,33.882,113.614,2020-02-18,19
Hunan,China,27.6104,111.7088,2020-02-18,4
Anhui,China,31.8257,117.2264,2020-02-18,6
Jiangxi,China,27.614,115.7221,2020-02-18,1
Shandong,China,36.3427,118.1498,2020-02-18,3
Chongqing,China,30.0572,107.874,2020-02-18,5
Sichuan,China,30.6171,102.7103,2020-02-18,3
Heilongjiang,China,47.862,127.7615,2020-02-18,11
Beijing,China,40.1824,116.4142,2020-02-18,4
Shanghai,China,31.202,121.4491,2020-02-18,1
Hebei,China,39.549,116.1306,2020-02-18,4
Guangxi,China,23.8298,108.7881,2020-02-18,2
Hainan,China,19.1959,109.7453,2020-02-18,4
Guizhou,China,26.8154,106.8748,2020-02-18,2
Tianjin,China,39.3054,117.323,2020-02-18,3
Gansu,China,37.8099,101.0583,2020-02-18,2
Hong Kong,China,22.3,114.2,2020-02-18,1
Liaoning,China,41.2956,122.6085,2020-02-18,1
Jilin,China,43.6661,126.1923,2020-02-18,1
Xinjiang,China,41.1129,85.2401,2020-02-18,1
All,Taiwan*,23.7,121,2020-02-18,1
All,Japan,36,138,2020-02-19,1
All,Philippines,13,122,2020-02-19,1
Hubei,China,30.9756,112.2707,2020-02-19,2029
All,Iran,32,53,2020-02-19,2
France,France,46.2276,2.2137,2020-02-19,1
Guangdong,China,23.3417,113.4244,2020-02-19,5
Henan,China,33.882,113.614,2020-02-19,19
Hunan,China,27.6104,111.7088,2020-02-19,4
Anhui,China,31.8257,117.2264,2020-02-19,6
Jiangxi,China,27.614,115.7221,2020-02-19,1
Shandong,China,36.3427,118.1498,2020-02-19,3
Chongqing,China,30.0572,107.874,2020-02-19,5
Sichuan,China,30.6171,102.7103,2020-02-19,3
Heilongjiang,China,47.862,127.7615,2020-02-19,12
Beijing,China,40.1824,116.4142,2020-02-19,4
Shanghai,China,31.202,121.4491,2020-02-19,2
Hebei,China,39.549,116.1306,2020-02-19,4
Guangxi,China,23.8298,108.7881,2020-02-19,2
Yunnan,China,24.974,101.487,2020-02-19,1
Hainan,China,19.1959,109.7453,2020-02-19,4
Guizhou,China,26.8154,106.8748,2020-02-19,2
Tianjin,China,39.3054,117.323,2020-02-19,3
Gansu,China,37.8099,101.0583,2020-02-19,2
Hong Kong,China,22.3,114.2,2020-02-19,2
Liaoning,China,41.2956,122.6085,2020-02-19,1
Jilin,China,43.6661,126.1923,2020-02-19,1
Xinjiang,China,41.1129,85.2401,2020-02-19,1
All,Taiwan*,23.7,121,2020-02-19,1
All,Japan,36,138,2020-02-20,1
All,Philippines,13,122,2020-02-20,1
Hubei,China,30.9756,112.2707,2020-02-20,2144
All,Iran,32,53,2020-02-20,2
All,"Korea, South",36,128,2020-02-20,1
France,France,46.2276,2.2137,2020-02-20,1
Guangdong,China,23.3417,113.4244,2020-02-20,5
Henan,China,33.882,113.614,2020-02-20,19
Zhejiang,China,29.1832,120.0934,2020-02-20,1
Hunan,China,27.6104,111.7088,2020-02-20,4
Anhui,China,31.8257,117.2264,2020-02-20,6
Jiangxi,China,27.614,115.7221,2020-02-20,1
Shandong,China,36.3427,118.1498,2020-02-20,4
Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-20,2
Chongqing,China,30.0572,107.874,2020-02-20,6
Sichuan,China,30.6171,102.7103,2020-02-20,3
Heilongjiang,China,47.862,127.7615,2020-02-20,12
Beijing,China,40.1824,116.4142,2020-02-20,4
Shanghai,China,31.202,121.4491,2020-02-20,2
Hebei,China,39.549,116.1306,2020-02-20,5
